trade_number,position,entry_date,exit_date,entry_price,exit_price,stop_level,target_level,pnl,is_win,is_target_hit,exit_reason,holding_period
1,long,2025-03-20T00:30:00.000Z,2025-03-19T23:15:00.000Z,86729.9,86170.73333333334,86170.73333333334,87568.64999999998,-20,false,false,Stop Hit,15
2,short,2025-03-19T18:45:00.000Z,2025-03-19T18:05:00.000Z,84621.7,83715.84642857144,85225.60238095236,83715.84642857144,30,true,true,Target Hit,8
3,long,2025-03-18T09:45:00.000Z,2025-03-18T08:35:00.000Z,83038.1,83400.37857142859,82796.58095238094,83400.37857142859,30,true,true,Target Hit,14
4,short,2025-03-17T15:05:00.000Z,2025-03-17T15:00:00.000Z,83062.5,82677.03571428572,83319.47619047618,82677.03571428572,30,true,true,Target Hit,1
5,long,2025-03-24T00:55:00.000Z,2025-03-23T07:15:00.000Z,85994.8,84183.4,83853.38571428569,89206.92142857148,-16.9177913128171,false,false,New Signal,212
6,short,2025-03-23T07:15:00.000Z,2025-03-23T06:50:00.000Z,84183.4,84249.20000000001,84249.20000000001,84084.69999999997,-20,false,false,Stop Hit,5
7,long,2025-03-22T11:00:00.000Z,2025-03-22T09:40:00.000Z,84352.2,84485.7785714286,84263.1476190476,84485.7785714286,30,true,true,Target Hit,16
8,short,2025-03-21T20:10:00.000Z,2025-03-21T19:25:00.000Z,83869.9,84060.58809523805,84060.58809523805,83583.8678571429,-20,false,false,Stop Hit,9
9,long,2025-03-20T15:45:00.000Z,2025-03-20T15:00:00.000Z,85074.6,86052.91785714286,84422.3880952381,86052.91785714286,30,true,true,Target Hit,9
10,short,2025-03-26T23:25:00.000Z,2025-03-26T22:50:00.000Z,86640,86894.43333333332,86894.43333333332,86258.35000000002,-20,false,false,Stop Hit,7
11,long,2025-03-26T12:10:00.000Z,2025-03-26T06:40:00.000Z,87922.2,87668.11904761904,87668.11904761904,88303.32142857143,-20,false,false,Stop Hit,66
12,short,2025-03-26T04:15:00.000Z,2025-03-26T03:20:00.000Z,87157.3,87285.93095238094,87285.93095238094,86964.3535714286,-20,false,false,Stop Hit,11
13,long,2025-03-25T20:20:00.000Z,2025-03-25T20:05:00.000Z,88268.3,88005.30238095239,88005.30238095239,88662.79642857143,-20,false,false,Stop Hit,3
14,short,2025-03-25T09:10:00.000Z,2025-03-25T03:10:00.000Z,86632.5,86909.39285714286,86909.39285714286,86217.16071428571,-20,false,false,Stop Hit,72
15,long,2025-03-25T00:55:00.000Z,2025-03-25T00:15:00.000Z,87556.5,87251.38809523809,87251.38809523809,88014.16785714286,-20,false,false,Stop Hit,8
16,short,2025-03-24T07:40:00.000Z,2025-03-24T07:15:00.000Z,86765.2,87047.0380952381,87047.0380952381,86342.44285714286,-20,false,false,Stop Hit,5
17,long,2025-03-30T23:30:00.000Z,2025-03-30T23:25:00.000Z,82000,75594.81785714284,86270.12142857144,75594.81785714284,30,true,true,Target Hit,1
18,short,2025-03-30T23:20:00.000Z,2025-03-29T10:35:00.000Z,81981,83258.2,86160.48333333332,75711.77500000002,-6.111760225546229,false,false,New Signal,441
19,long,2025-03-29T10:35:00.000Z,2025-03-29T06:00:00.000Z,83286.2,83940.45714285717,82850.02857142856,83940.45714285717,30,true,true,Target Hit,55
20,short,2025-03-27T14:20:00.000Z,2025-03-27T12:45:00.000Z,86406.4,86863.47619047618,86863.47619047618,85720.78571428571,-20,false,false,Stop Hit,19
21,long,2025-04-02T21:55:00.000Z,2025-04-02T20:30:00.000Z,84812.7,86363.42142857144,83778.8857142857,86363.42142857144,30,true,true,Target Hit,17
22,short,2025-04-02T13:25:00.000Z,2025-04-02T09:15:00.000Z,84577,85283.35714285713,85283.35714285713,83517.4642857143,-20,false,false,Stop Hit,50
23,long,2025-03-31T16:25:00.000Z,2025-03-31T16:20:00.000Z,83570.5,83305.7095238095,83305.7095238095,83967.68571428573,-20,false,false,Stop Hit,1
24,short,2025-03-31T10:15:00.000Z,2025-03-31T09:05:00.000Z,81521.5,81822.43809523807,81822.43809523807,81070.09285714288,-20,false,false,Stop Hit,14
25,long,2025-04-06T16:05:00.000Z,2025-04-06T10:00:00.000Z,82424,83031.41428571433,82019.05714285711,83031.41428571433,30,true,true,Target Hit,73
26,short,2025-04-05T17:05:00.000Z,2025-04-05T15:45:00.000Z,82649.7,82377.01428571431,82831.49047619046,82377.01428571431,30,true,true,Target Hit,16
27,long,2025-04-05T12:20:00.000Z,2025-04-05T10:00:00.000Z,83439.3,83850.5321428572,83165.1452380952,83850.5321428572,30,true,true,Target Hit,28
28,short,2025-04-04T17:15:00.000Z,2025-04-04T15:15:00.000Z,83113.6,83668.63333333332,83668.63333333332,82281.05000000005,-20,false,false,Stop Hit,24